column_name,column_type,null,key,default,extra
te_cyl_liner_wall_exh__4,DOUBLE,YES,,,
te_cyl_liner_wall_exh__5,DOUBLE,YES,,,
re_dlf_current_limiter_offset,DOUBLE,YES,,,
bo_dlf_high_torque_allowed,BOOLEAN,YES,,,
ti_dlf_high_torque_duration,DOUBLE,YES,,,
bo_dlf_high_torque_detected,BOOLEAN,YES,,,
re_dlf_limiter_value,DOUBLE,YES,,,
re_pcomp_pscav_adjustment_acco__0,DOUBLE,YES,,,
re_pcomp_pscav_adjustment_acco__1,DOUBLE,YES,,,
re_pcomp_pscav_adjustment_acco__2,DOUBLE,YES,,,
re_pcomp_pscav_adjustment_acco__3,DOUBLE,YES,,,
re_pcomp_pscav_adjustment_acco__4,DOUBLE,YES,,,
re_pcomp_pscav_adjustment_acco__5,DOUBLE,YES,,,
pr_prise_adjustment_acco__0,DOUBLE,YES,,,
pr_prise_adjustment_acco__1,DOUBLE,YES,,,
pr_prise_adjustment_acco__2,DOUBLE,YES,,,
pr_prise_adjustment_acco__3,DOUBLE,YES,,,
pr_prise_adjustment_acco__4,DOUBLE,YES,,,
pr_prise_adjustment_acco__5,DOUBLE,YES,,,
pr_pmax_ordered_acco__0,DOUBLE,YES,,,
pr_pmax_ordered_acco__1,DOUBLE,YES,,,
pr_pmax_ordered_acco__2,DOUBLE,YES,,,
pr_pmax_ordered_acco__3,DOUBLE,YES,,,
pr_pmax_ordered_acco__4,DOUBLE,YES,,,
pr_pmax_ordered_acco__5,DOUBLE,YES,,,
pr_pmax_acco__0,DOUBLE,YES,,,
pr_pmax_acco__1,DOUBLE,YES,,,
pr_pmax_acco__2,DOUBLE,YES,,,
pr_pmax_acco__3,DOUBLE,YES,,,
pr_pmax_acco__4,DOUBLE,YES,,,
pr_pmax_acco__5,DOUBLE,YES,,,
pr_pcomp_ordered_acco__0,DOUBLE,YES,,,
pr_pcomp_ordered_acco__1,DOUBLE,YES,,,
pr_pcomp_ordered_acco__2,DOUBLE,YES,,,
pr_pcomp_ordered_acco__3,DOUBLE,YES,,,
pr_pcomp_ordered_acco__4,DOUBLE,YES,,,
pr_pcomp_ordered_acco__5,DOUBLE,YES,,,
pr_pcomp_acco__0,DOUBLE,YES,,,
pr_pcomp_acco__1,DOUBLE,YES,,,
pr_pcomp_acco__2,DOUBLE,YES,,,
pr_pcomp_acco__3,DOUBLE,YES,,,
pr_pcomp_acco__4,DOUBLE,YES,,,
pr_pcomp_acco__5,DOUBLE,YES,,,
pr_prise_ordered_acco__0,DOUBLE,YES,,,
pr_prise_ordered_acco__1,DOUBLE,YES,,,
pr_prise_ordered_acco__2,DOUBLE,YES,,,
pr_prise_ordered_acco__3,DOUBLE,YES,,,
pr_prise_ordered_acco__4,DOUBLE,YES,,,
pr_prise_ordered_acco__5,DOUBLE,YES,,,
pr_prise_acco__0,DOUBLE,YES,,,
pr_prise_acco__1,DOUBLE,YES,,,
pr_prise_acco__2,DOUBLE,YES,,,
pr_prise_acco__3,DOUBLE,YES,,,
pr_prise_acco__4,DOUBLE,YES,,,
pr_prise_acco__5,DOUBLE,YES,,,
re_mip_sf_adjustment_acco__0,DOUBLE,YES,,,
re_mip_sf_adjustment_acco__1,DOUBLE,YES,,,
re_mip_sf_adjustment_acco__2,DOUBLE,YES,,,
re_mip_sf_adjustment_acco__3,DOUBLE,YES,,,
re_mip_sf_adjustment_acco__4,DOUBLE,YES,,,
re_mip_sf_adjustment_acco__5,DOUBLE,YES,,,
re_mip_fo_adjustment_acco__0,DOUBLE,YES,,,
re_mip_fo_adjustment_acco__1,DOUBLE,YES,,,
re_mip_fo_adjustment_acco__2,DOUBLE,YES,,,
re_mip_fo_adjustment_acco__3,DOUBLE,YES,,,
re_mip_fo_adjustment_acco__4,DOUBLE,YES,,,
re_mip_fo_adjustment_acco__5,DOUBLE,YES,,,
re_mip_avg_sf_adjustment_acco,DOUBLE,YES,,,
re_mip_avg_fo_adjustment_acco,DOUBLE,YES,,,
se_mip_ordered_acco__0,DOUBLE,YES,,,
se_mip_ordered_acco__1,DOUBLE,YES,,,
se_mip_ordered_acco__2,DOUBLE,YES,,,
se_mip_ordered_acco__3,DOUBLE,YES,,,
se_mip_ordered_acco__4,DOUBLE,YES,,,
se_mip_ordered_acco__5,DOUBLE,YES,,,
se_mip_acco__0,DOUBLE,YES,,,
se_mip_acco__1,DOUBLE,YES,,,
se_mip_acco__2,DOUBLE,YES,,,
se_mip_acco__3,DOUBLE,YES,,,
se_mip_acco__4,DOUBLE,YES,,,
se_mip_acco__5,DOUBLE,YES,,,
ec_fuel_plunger_stroke_meas__0,DOUBLE,YES,,,
ec_fuel_plunger_stroke_meas__1,DOUBLE,YES,,,
ec_fuel_plunger_stroke_meas__2,DOUBLE,YES,,,
ec_fuel_plunger_stroke_meas__3,DOUBLE,YES,,,
ec_fuel_plunger_stroke_meas__4,DOUBLE,YES,,,
ec_fuel_plunger_stroke_meas__5,DOUBLE,YES,,,
re_load_low_offset_chief__0,DOUBLE,YES,,,
re_load_low_offset_chief__1,DOUBLE,YES,,,
re_load_low_offset_chief__2,DOUBLE,YES,,,
re_load_low_offset_chief__3,DOUBLE,YES,,,
re_load_low_offset_chief__4,DOUBLE,YES,,,
re_load_low_offset_chief__5,DOUBLE,YES,,,
re_load_high_offset_chief__0,DOUBLE,YES,,,
re_load_high_offset_chief__1,DOUBLE,YES,,,
re_load_high_offset_chief__2,DOUBLE,YES,,,
re_load_high_offset_chief__3,DOUBLE,YES,,,
re_load_high_offset_chief__4,DOUBLE,YES,,,
re_load_high_offset_chief__5,DOUBLE,YES,,,
ti_msec_adjust_acco__0,DOUBLE,YES,,,
ti_msec_adjust_acco__1,DOUBLE,YES,,,
ti_msec_adjust_acco__2,DOUBLE,YES,,,
ti_msec_adjust_acco__3,DOUBLE,YES,,,
ti_msec_adjust_acco__4,DOUBLE,YES,,,
ti_msec_adjust_acco__5,DOUBLE,YES,,,
le_exhv_stroke_opening__0,DOUBLE,YES,,,
le_exhv_stroke_opening__1,DOUBLE,YES,,,
le_exhv_stroke_opening__2,DOUBLE,YES,,,
le_exhv_stroke_opening__3,DOUBLE,YES,,,
le_exhv_stroke_opening__4,DOUBLE,YES,,,
le_exhv_stroke_opening__5,DOUBLE,YES,,,
le_exhv_stroke_close__0,DOUBLE,YES,,,
le_exhv_stroke_close__1,DOUBLE,YES,,,
le_exhv_stroke_close__2,DOUBLE,YES,,,
le_exhv_stroke_close__3,DOUBLE,YES,,,
le_exhv_stroke_close__4,DOUBLE,YES,,,
le_exhv_stroke_close__5,DOUBLE,YES,,,
ti_exhv_delay_close__0,DOUBLE,YES,,,
ti_exhv_delay_close__1,DOUBLE,YES,,,
ti_exhv_delay_close__2,DOUBLE,YES,,,
ti_exhv_delay_close__3,DOUBLE,YES,,,
ti_exhv_delay_close__4,DOUBLE,YES,,,
ti_exhv_delay_close__5,DOUBLE,YES,,,
ti_exhv_delay_open__0,DOUBLE,YES,,,
ti_exhv_delay_open__1,DOUBLE,YES,,,
ti_exhv_delay_open__2,DOUBLE,YES,,,
ti_exhv_delay_open__3,DOUBLE,YES,,,
ti_exhv_delay_open__4,DOUBLE,YES,,,
ti_exhv_delay_open__5,DOUBLE,YES,,,
ec_exhv_position_close__0,DOUBLE,YES,,,
ec_exhv_position_close__1,DOUBLE,YES,,,
ec_exhv_position_close__2,DOUBLE,YES,,,
ec_exhv_position_close__3,DOUBLE,YES,,,
ec_exhv_position_close__4,DOUBLE,YES,,,
ec_exhv_position_close__5,DOUBLE,YES,,,
re_melub_feedrate_adjust__0,DOUBLE,YES,,,
re_melub_feedrate_adjust__1,DOUBLE,YES,,,
re_melub_feedrate_adjust__2,DOUBLE,YES,,,
re_melub_feedrate_adjust__3,DOUBLE,YES,,,
re_melub_feedrate_adjust__4,DOUBLE,YES,,,
re_melub_feedrate_adjust__5,DOUBLE,YES,,,
mr_melub_feedrate_run_in__0,DOUBLE,YES,,,
mr_melub_feedrate_run_in__1,DOUBLE,YES,,,
mr_melub_feedrate_run_in__2,DOUBLE,YES,,,
mr_melub_feedrate_run_in__3,DOUBLE,YES,,,
mr_melub_feedrate_run_in__4,DOUBLE,YES,,,
mr_melub_feedrate_run_in__5,DOUBLE,YES,,,
an_turn_wheel,DOUBLE,YES,,,
re_fr_eng_heavy_run_num,DOUBLE,YES,,,
re_fr_eng_light_run_num,DOUBLE,YES,,,
te_exh_turb_in_iso__0,DOUBLE,YES,,,
fr_tc_iso__0,DOUBLE,YES,,,
te_exh_turb_out_iso__0,DOUBLE,YES,,,
pr_cyl_rise_mv,DOUBLE,YES,,,
pd_cyl_max_dev__3,DOUBLE,YES,,,
pd_cyl_max_dev__2,DOUBLE,YES,,,
pd_cyl_max_dev__0,DOUBLE,YES,,,
pd_cyl_max_dev__4,DOUBLE,YES,,,
pd_cyl_max_dev__1,DOUBLE,YES,,,
pd_cyl_max_dev__5,DOUBLE,YES,,,
pd_cyl_comp_dev__0,DOUBLE,YES,,,
pd_cyl_comp_dev__4,DOUBLE,YES,,,
pd_cyl_comp_dev__2,DOUBLE,YES,,,
pd_cyl_comp_dev__5,DOUBLE,YES,,,
pd_cyl_comp_dev__1,DOUBLE,YES,,,
pd_cyl_comp_dev__3,DOUBLE,YES,,,
se_mip_dev__1,DOUBLE,YES,,,
se_mip_dev__3,DOUBLE,YES,,,
se_mip_dev__5,DOUBLE,YES,,,
se_mip_dev__0,DOUBLE,YES,,,
se_mip_dev__4,DOUBLE,YES,,,
se_mip_dev__2,DOUBLE,YES,,,
pr_air_scav_abs,DOUBLE,YES,,,
re_eng_speed,DOUBLE,YES,,,
pr_cyl_max_mv_iso,DOUBLE,YES,,,
te_air_scav_rec_iso,DOUBLE,YES,,,
te_exh_cyl_out_mv_iso,DOUBLE,YES,,,
pr_cyl_comp_mv_iso,DOUBLE,YES,,,
pr_air_scav_iso,DOUBLE,YES,,,
fr_tc__0,DOUBLE,YES,,,
fr_tc_ecs__0,DOUBLE,YES,,,
re_egb_area_setpoint,DOUBLE,YES,,,
re_egb_area,DOUBLE,YES,,,
re_egb_pos_setpoint,DOUBLE,YES,,,
re_egb_pos,DOUBLE,YES,,,
er_scu1_insulation,DOUBLE,YES,,,
ti_runhour,DOUBLE,YES,,,
ti_runhour_last_start,DOUBLE,YES,,,
bo_eexi_load_limit_cancel,BOOLEAN,YES,,,
bo_eexi_load_limit_exceed,BOOLEAN,YES,,,
in_eexi_load_limit_input,DOUBLE,YES,,,
re_eexi_gov_index_limit,DOUBLE,YES,,,
in_pms_req_perm_state,DOUBLE,YES,,,
in_gov_ctrl_station_act,DOUBLE,YES,,,
re_gov_index_margin,DOUBLE,YES,,,
pr_fuel_eng_in,DOUBLE,YES,,,
te_lub_eng_in,DOUBLE,YES,,,
te_thrustbearing,DOUBLE,YES,,,
pr_lub_eng_in,DOUBLE,YES,,,
te_coil_pist_out__0,DOUBLE,YES,,,
te_coil_pist_out__1,DOUBLE,YES,,,
te_coil_pist_out__2,DOUBLE,YES,,,
te_coil_pist_out__3,DOUBLE,YES,,,
te_coil_pist_out__4,DOUBLE,YES,,,
te_coil_pist_out__5,DOUBLE,YES,,,
te_coil_pist_out__6,DOUBLE,YES,,,
aw_water_hydr,DOUBLE,YES,,,
te_lub_mbear_out__0,DOUBLE,YES,,,
te_lub_mbear_out__1,DOUBLE,YES,,,
te_lub_mbear_out__2,DOUBLE,YES,,,
te_lub_mbear_out__3,DOUBLE,YES,,,
te_lub_mbear_out__4,DOUBLE,YES,,,
te_lub_mbear_out__5,DOUBLE,YES,,,
te_lub_mbear_out__6,DOUBLE,YES,,,
te_lub_mbear_out__7,DOUBLE,YES,,,
te_lub_mbear_out__8,DOUBLE,YES,,,
te_lub_oil_in,DOUBLE,YES,,,
pr_cw_ic_in__0,DOUBLE,YES,,,
te_cw_ic_in_common,DOUBLE,YES,,,
pr_cw_eng_in_ht,DOUBLE,YES,,,
pd_cw_eng_ht,DOUBLE,YES,,,
te_cw_cyl_out_ht__0,DOUBLE,YES,,,
te_cw_cyl_out_ht__1,DOUBLE,YES,,,
te_cw_cyl_out_ht__2,DOUBLE,YES,,,
te_cw_cyl_out_ht__3,DOUBLE,YES,,,
te_cw_cyl_out_ht__4,DOUBLE,YES,,,
te_cw_cyl_out_ht__5,DOUBLE,YES,,,
te_cw_cyl_out_ht__6,DOUBLE,YES,,,
te_air_scav_rec,DOUBLE,YES,,,
te_air_scav_cyl__0,DOUBLE,YES,,,
te_air_scav_cyl__1,DOUBLE,YES,,,
te_air_scav_cyl__2,DOUBLE,YES,,,
te_air_scav_cyl__3,DOUBLE,YES,,,
te_air_scav_cyl__4,DOUBLE,YES,,,
te_air_scav_cyl__5,DOUBLE,YES,,,
te_air_scav_cyl__6,DOUBLE,YES,,,
te_exh_cyl_out__0,DOUBLE,YES,,,
te_exh_cyl_out__1,DOUBLE,YES,,,
te_exh_cyl_out__2,DOUBLE,YES,,,
te_exh_cyl_out__3,DOUBLE,YES,,,
te_exh_cyl_out__4,DOUBLE,YES,,,
te_exh_cyl_out__5,DOUBLE,YES,,,
te_exh_cyl_out__6,DOUBLE,YES,,,
le_axial_vmon,DOUBLE,YES,,,
pr_cw_eng_out,DOUBLE,YES,,,
te_cw_ic_out__0,DOUBLE,YES,,,
te_air_ic_in__0,DOUBLE,YES,,,
te_air_ic_out__0,DOUBLE,YES,,,
pd_air_ic__0,DOUBLE,YES,,,
te_exh_rec,DOUBLE,YES,,,
aw_water_luboil,DOUBLE,YES,,,
pd_cw_liner,DOUBLE,YES,,,
pd_cw_cover,DOUBLE,YES,,,
te_cw_cover_out__0,DOUBLE,YES,,,
te_cw_cover_out__1,DOUBLE,YES,,,
te_cw_cover_out__2,DOUBLE,YES,,,
te_cw_cover_out__3,DOUBLE,YES,,,
te_cw_cover_out__4,DOUBLE,YES,,,
te_cw_cover_out__5,DOUBLE,YES,,,
te_cw_cover_out__6,DOUBLE,YES,,,
te_lub_hps_gear_bear_out,DOUBLE,YES,,,
vi_fuel_eng_in,DOUBLE,YES,,,
pr_air_cyl_exh_valve,DOUBLE,YES,,,
pr_baro,DOUBLE,YES,,,
pr_exh_rec,DOUBLE,YES,,,
te_lub_chbear_out__0,DOUBLE,YES,,,
te_lub_chbear_out__1,DOUBLE,YES,,,
te_lub_chbear_out__2,DOUBLE,YES,,,
te_lub_chbear_out__3,DOUBLE,YES,,,
te_lub_chbear_out__4,DOUBLE,YES,,,
te_lub_chbear_out__5,DOUBLE,YES,,,
te_lub_chbear_out__6,DOUBLE,YES,,,
te_lub_chbear_out__7,DOUBLE,YES,,,
te_lub_chbear_out__8,DOUBLE,YES,,,
te_lub_chbear_out__9,DOUBLE,YES,,,
te_lub_chbear_out__10,DOUBLE,YES,,,
te_lub_chbear_out__11,DOUBLE,YES,,,
te_lub_chbear_out__12,DOUBLE,YES,,,
te_lub_chbear_out__13,DOUBLE,YES,,,
te_lub_cpbear_out__0,DOUBLE,YES,,,
te_lub_cpbear_out__1,DOUBLE,YES,,,
te_lub_cpbear_out__2,DOUBLE,YES,,,
te_lub_cpbear_out__3,DOUBLE,YES,,,
te_lub_cpbear_out__4,DOUBLE,YES,,,
te_lub_cpbear_out__5,DOUBLE,YES,,,
te_lub_cpbear_out__6,DOUBLE,YES,,,
po_torque,DOUBLE,YES,,,
to_torque,DOUBLE,YES,,,
le_draft_fore,DOUBLE,YES,,,
le_draft_aft,DOUBLE,YES,,,
le_draft_stb,DOUBLE,YES,,,
le_draft_port,DOUBLE,YES,,,
le_trim,DOUBLE,YES,,,
an_rudder,DOUBLE,YES,,,
re_air_humid,DOUBLE,YES,,,
te_seawater,DOUBLE,YES,,,
ve_log,DOUBLE,YES,,,
ve_gps,DOUBLE,YES,,,
te_air_ambient,DOUBLE,YES,,,
se_mip__6,DOUBLE,YES,,,
pr_cyl_max__6,DOUBLE,YES,,,
pr_cyl_comp__6,DOUBLE,YES,,,
pr_pmax_cont_adj,DOUBLE,YES,,,
re_pcomp_pscav_cont_adj,DOUBLE,YES,,,
bo_at_active,DOUBLE,YES,,,
bo_pmax_at_enabled,DOUBLE,YES,,,
bo_pcomp_scav_at_enabled,DOUBLE,YES,,,
bo_at_engine_balanced,DOUBLE,YES,,,
mr_luboil_cyl_in_feedrate__6,DOUBLE,YES,,,
te_cw_eng_in_ht,DOUBLE,YES,,,
pr_pmax_offset_chief__6,DOUBLE,YES,,,
re_pcomp_pscav_offset_chief__6,DOUBLE,YES,,,
an_exh_valve_open_offset_chief__6,DOUBLE,YES,,,
in_ccu_noise_pulses__6,DOUBLE,YES,,,
er_ccu_insulation__6,DOUBLE,YES,,,
re_pcomp_pscav__6,DOUBLE,YES,,,
te_cyl_liner_wall_pump__6,DOUBLE,YES,,,
te_cyl_liner_wall_exh__6,DOUBLE,YES,,,
re_load_low_offset_chief__6,DOUBLE,YES,,,
re_load_high_offset_chief__6,DOUBLE,YES,,,
le_exhv_stroke_opening__6,DOUBLE,YES,,,
le_exhv_stroke_close__6,DOUBLE,YES,,,
ti_exhv_delay_close__6,DOUBLE,YES,,,
ti_exhv_delay_open__6,DOUBLE,YES,,,
ec_exhv_position_close__6,DOUBLE,YES,,,
re_melub_feedrate_adjust__6,DOUBLE,YES,,,
mr_melub_feedrate_run_in__6,DOUBLE,YES,,,
te_lub_tc_out__0,DOUBLE,YES,,,
te_exh_turb_in__0,DOUBLE,YES,,,
te_exh_turb_out__0,DOUBLE,YES,,,
pr_lub_tc_in__0,DOUBLE,YES,,,
te_air_comp_in_a__0,DOUBLE,YES,,,
pr_exh_turb_out__0,DOUBLE,YES,,,
pd_air_comp_filter__0,DOUBLE,YES,,,
te_air_comp_in_b__0,DOUBLE,YES,,,
pd_cyl_comp_dev__6,DOUBLE,YES,,,
pd_cyl_max_dev__6,DOUBLE,YES,,,
se_mip_dev__6,DOUBLE,YES,,,
in_stable,DOUBLE,YES,,,
pd_perf_idx_pmax_balance_indicator,DOUBLE,YES,,,
pd_perf_idx_pcomp_balance_indicator,DOUBLE,YES,,,
td_perf_idx_cooling_indicator,DOUBLE,YES,,,
pd_perf_idx_pcomp_control_indicator,DOUBLE,YES,,,
re_perf_idx_load_control,DOUBLE,YES,,,
re_perf_idx_pcomp_control,DOUBLE,YES,,,
re_perf_idx_load_control_indicator,DOUBLE,YES,,,
in_stable_hourly,DOUBLE,YES,,,
re_perf_idx_pmax_balance,DOUBLE,YES,,,
re_eng_perf_idx,DOUBLE,YES,,,
in_reference_mode_hourly,DOUBLE,YES,,,
re_perf_idx_cooling,DOUBLE,YES,,,
re_perf_idx_hrn,DOUBLE,YES,,,
pd_perf_idx_mip_balance_indicator,DOUBLE,YES,,,
re_perf_idx_pcomp_balance,DOUBLE,YES,,,
re_perf_idx_turbine_in_indicator,DOUBLE,YES,,,
re_perf_idx_hrn_indicator,DOUBLE,YES,,,
re_perf_idx_tc_speed_indicator,DOUBLE,YES,,,
pd_perf_idx_pscav_control_indicator,DOUBLE,YES,,,
re_perf_idx_pmax_control,DOUBLE,YES,,,
re_perf_idx_pscav_control,DOUBLE,YES,,,
pd_perf_idx_pmax_control_indicator,DOUBLE,YES,,,
re_perf_idx_mip_balance,DOUBLE,YES,,,
re_perf_idx_tc_speed,DOUBLE,YES,,,
re_perf_idx_turbine_in,DOUBLE,YES,,,
re_tceff_sfoc_score,DOUBLE,YES,,,
re_backpres_sfoc_score,DOUBLE,YES,,,
re_pmax_sfoc_score,DOUBLE,YES,,,
re_hrn_sfoc_score,DOUBLE,YES,,,
re_sfoc_score,DOUBLE,YES,,,
re_tscav_sfoc_score,DOUBLE,YES,,,
in_reference_mode,DOUBLE,YES,,,
pr_baro_ercs,DOUBLE,YES,,,
te_air_comp_in_ercs,DOUBLE,YES,,,
mp_hum_air_comp_in_ercs,DOUBLE,YES,,,
te_exh_scr_mixer_inlet_average,DOUBLE,YES,,,
te_exh_scr_turbine_inlet,DOUBLE,YES,,,
te_exh_scr_reactor_inlet,DOUBLE,YES,,,
te_exh_scr_reactor_outlet,DOUBLE,YES,,,
pr_exh_scr_reactor,DOUBLE,YES,,,
pd_exh_scr_reactor,DOUBLE,YES,,,
co_exh_scr_nox,DOUBLE,YES,,,
vf_scr_dosing_agentflow,DOUBLE,YES,,,
vf_scr_dosing_agentflow_stp,DOUBLE,YES,,,
re_scr_dosing_agent_conc,DOUBLE,YES,,,
re_scr_rtv_pos,DOUBLE,YES,,,
re_scr_rtv_pos_setpoint,DOUBLE,YES,,,
re_scr_cbv_pos,DOUBLE,YES,,,
re_scr_cbv_pos_setpoint,DOUBLE,YES,,,
re_scr_rbv_position_1,DOUBLE,YES,,,
re_scr_rbv_position_setpoint,DOUBLE,YES,,,
te_air_scav_rec_8609,DOUBLE,YES,,,
re_pcomp_pscav_adjustment_acco__6,DOUBLE,YES,,,
pr_prise_adjustment_acco__6,DOUBLE,YES,,,
pr_pmax_ordered_acco__6,DOUBLE,YES,,,
pr_pmax_acco__6,DOUBLE,YES,,,
